,Good Cell Left,Bad Cell Left,t = ,Cells created,Capture screen,run by ..
Exp.,20,0,2000,1234,discord chat,Prim
1,20,0,22.72,620,discord chat,earth
2,19,0,19.74,619,discord chat,earth
3,19,0,23.88,619,discord chat,earth
4,18,0,18.62,618,discord chat,earth
5,19,0,25.04,619,discord chat,earth
6,18,0,36.16,618,discord chat,earth
7,18,0,39.96,618,discord chat,earth
8,17,0,27,617,discord chat,earth
9,17,0,20.92,617,discord chat,earth
10,17,0,21.26,617,discord chat,earth
11,19,0,39.74,619,discord chat,earth
12,19,0,38.84,619,discord chat,earth
13,20,0,21.86,620,discord chat,earth
14,19,0,22.24,619,discord chat,earth
15,16,0,35.8,616,discord chat,earth
16,17,0,20.62,617,discord chat,earth
17,19,0,22.26,619,discord chat,earth
18,17,0,20.74,617,discord chat,earth
19,20,0,21.72,620,discord chat,earth
20,20,0,24.9,620,discord chat,earth
,,,,,,
,,,,,,
,,,,,,
,368,,,,,
,18.4,0.92,,,,
,1.231174023,,,,,
