time,Good Cell Left,Bad Cell Left,t = ,Cells created,Capture screen,run by
1,19,0,75,1001,Discord New Channel,Danny
2,19,1,75.1,1000,Discord New Channel,Danny
3,20,0,73.4,1001,Discord New Channel,Danny
4,18,0,72.4,911,Discord New Channel,Danny
5,20,0,39.9,520,Discord New Channel,Danny
6,20,2,74.7,1001,Discord New Channel,Danny
7,20,0,20.7,520,Discord New Channel,Danny
8,20,0,74.2,987,Discord New Channel,Danny
9,20,0,57.1,520,Discord New Channel,Danny
10,20,2,74.6,1003,Discord New Channel,Danny
11,20,0,66.9,559,Discord New Channel,Danny
12,19,4,74.6,1001,Discord New Channel,Danny
13,20,0,48.1,520,Discord New Channel,Danny
14,20,1,74.9,1000,Discord New Channel,Danny
15,20,0,51.4,520,Discord New Channel,Danny
16,20,0,44.5,520,Discord New Channel,Danny
17,20,0,64.3,523,Discord New Channel,Danny
18,20,2,74.7,1001,Discord New Channel,Danny
19,20,0,28.5,520,Discord New Channel,Danny
20,20,0,71.2,823,Discord New Channel,Danny
re do bad cell ,,,,,,
21,19,0,66.5,549,Discord New Channel,Danny
22,20,0,98,1020,Discord New Channel,earth
23,19,0,76.9,1014,Discord New Channel,Danny
24,20,0,83.7,1500,Discord New Channel,earth
25,20,0,82.4,1020,Discord New Channel,Danny
26,20,0,114.3,1020,Discord New Channel,earth
